name,kana,lat,lng,closed
函館,はこだて,41.773709,140.726413,0
函館駅前,はこだてえきまえ,41.77264,140.727997,0
五稜郭,ごりょうかく,41.803557,140.733539,0
桔梗,ききょう,41.846457,140.722952,0
大中山,おおなかやま,41.864641,140.71358,0
七飯,ななえ,41.886971,140.688556,0
新函館北斗,しんはこだてほくと,41.9054,140.646525,0
仁山,にやま,41.930011,140.635183,1
大沼,おおぬま,41.971954,140.669347,0
大沼公園,おおぬまこうえん,41.980958,140.669758,0
赤井川,あかいがわ,42.003267,140.642678,0
駒ヶ岳,こまがたけ,42.038809,140.610476,0
東山,ひがしやま,42.06172,140.605222,1
姫川,ひめかわ,42.081312,140.591632,1
池田園,いけだえん,41.990692,140.700333,1
流山温泉,ながれやまおんせん,42.003483,140.716358,1
銚子口,ちょうしぐち,42.015471,140.720656,1
鹿部,しかべ,42.06439,140.771393,0
渡島沼尻,おしまぬまじり,42.10706,140.747596,0
渡島砂原,おしまさわら,42.12164,140.689451,0
掛澗,かかりま,42.119205,140.64598,0
尾白内,おしろない,42.111232,140.613449,0
東森,ひがしもり,42.106823,140.59353,0
森,もり,42.108917,140.573846,0
桂川,かつらがわ,42.1156,140.542788,1
石谷,いしや,42.135519,140.506525,1
本石倉,ほんいしくら,42.159668,140.471957,1
石倉,いしくら,42.17285,140.458436,0
落部,おとしべ,42.187617,140.420755,0
野田生,のだおい,42.217104,140.37586,0
山越,やまこし,42.231172,140.326593,0
八雲,やくも,42.253391,140.273342,0
鷲ノ巣,わしのす,42.278389,140.269919,1
山崎,やまさき,42.314635,140.2746,0
黒岩,くろいわ,42.368296,140.288173,0
北豊津,きたとよつ,42.400969,140.297868,1
国縫,くんぬい,42.439319,140.320885,0
中ノ沢,なかのさわ,42.477928,140.346077,1
長万部,おしゃまんべ,42.512477,140.37507,0
二股,ふたまた,42.575869,140.320821,1
蕨岱,わらびたい,42.626353,140.313353,1
黒松内,くろまつない,42.669608,140.305704,0
熱郛,ねっぷ,42.675653,140.375084,0
目名,めな,42.761432,140.465742,0
蘭越,らんこし,42.804542,140.52894,0
昆布,こんぶ,42.797984,140.596107,0
ニセコ,にせこ,42.808746,140.684588,0
比羅夫,ひらふ,42.84856,140.722615,0
倶知安,くっちゃん,42.90164,140.745471,0
小沢,こざわ,42.97185,140.677657,0
銀山,ぎんざん,43.040888,140.715321,0
然別,しかりべつ,43.12551,140.737211,0
仁木,にき,43.154091,140.770546,0
余市,よいち,43.186558,140.794686,0
蘭島,らんしま,43.19651,140.854643,0
塩谷,しおや,43.202406,140.924546,0
小樽,おたる,43.197172,140.993653,0
南小樽,みなみおたる,43.186529,141.007883,0
小樽築港,おたるちっこう,43.180752,141.029051,0
朝里,あさり,43.176868,141.063923,0
銭函,ぜにばこ,43.143403,141.159868,0
ほしみ,ほしみ,43.13373,141.191402,0
星置,ほしおき,43.132375,141.210856,0
稲穂,いなほ,43.128115,141.222919,0
手稲,ていね,43.120238,141.243785,0
稲積公園,いなづみこうえん,43.112023,141.257113,0
発寒,はっさむ,43.099819,141.277273,0
発寒中央,はっさむちゅうおう,43.089271,141.294497,0
琴似,ことに,43.081599,141.307418,0
桑園,そうえん,43.070744,141.332036,0
札幌,さっぽろ,43.068612,141.350768,0
さっぽろ,さっぽろ,43.06637,141.350299,0
苗穂,なえぼ,43.06826,141.373471,0
白石,しろいし,43.054715,141.413612,0
厚別,あつべつ,43.045154,141.46369,0
森林公園,しんりんこうえん,43.056456,141.481332,0
大麻,おおあさ,43.072382,141.496925,0
野幌,のっぽろ,43.092559,141.52984,0
高砂,たかさご,43.100084,141.540752,0
江別,えべつ,43.110189,141.55679,0
豊幌,とよほろ,43.136446,141.62466,0
幌向,ほろむい,43.151348,141.655839,0
上幌向,かみほろむい,43.18183,141.715391,0
岩見沢,いわみざわ,43.204201,141.759359,0
峰延,みねのぶ,43.264694,141.814673,0
光珠内,こうしゅない,43.292658,141.844655,0
美唄,びばい,43.330751,141.862157,0
茶志内,ちゃしない,43.369842,141.87336,0
奈井江,ないえ,43.423718,141.889115,0
豊沼,とよぬま,43.464224,141.901032,0
砂川,すながわ,43.493468,141.909642,0
滝川,たきかわ,43.555278,141.900807,0
江部乙,えべおつ,43.627564,141.935937,0
妹背牛,もせうし,43.690841,141.966591,0
深川,ふかがわ,43.721021,142.041642,0
納内,おさむない,43.732509,142.130072,0
神居古潭,かむいこたん,43.732833,142.202222,1
伊納,いのう,43.763305,142.27167,1
近文,ちかぶみ,43.789193,142.325327,0
旭川,あさひかわ,43.763492,142.357803,0
静狩,しずかり,42.584065,140.460025,0
小幌,こぼろ,42.589731,140.537361,0
礼文,れぶん,42.580422,140.595013,0
大岸,おおきし,42.585969,140.639036,0
豊浦,とようら,42.580323,140.71536,0
洞爺,とうや,42.55055,140.763959,0
有珠,うす,42.513267,140.793969,0
長和,ながわ,42.488262,140.833783,0
伊達紋別,だてもんべつ,42.469395,140.855802,0
北舟岡,きたふなおか,42.450528,140.880259,0
稀府,まれっぷ,42.425567,140.898836,0
黄金,こがね,42.386441,140.907781,0
崎守,さきもり,42.373968,140.927141,0
本輪西,もとわにし,42.358734,140.977561,0
室蘭,むろらん,42.317864,140.97571,0
母恋,ぼこい,42.317295,140.990018,0
御崎,みさき,42.329014,140.993881,0
輪西,わにし,42.333775,141.005743,0
東室蘭,ひがしむろらん,42.349374,141.026411,0
鷲別,わしべつ,42.35953,141.042759,0
幌別,ほろべつ,42.409782,141.107293,0
富浦,とみうら,42.441957,141.156878,0
登別,のぼりべつ,42.45207,141.180931,0
虎杖浜,こじょうはま,42.464695,141.215092,0
竹浦,たけうら,42.49284,141.260395,0
北吉原,きたよしはら,42.509119,141.286199,0
萩野,はぎの,42.521159,141.30603,0
白老,しらおい,42.55474,141.360054,0
社台,しゃだい,42.578682,141.417433,0
錦岡,にしきおか,42.6025,141.48722,0
糸井,いとい,42.6225,141.546187,0
青葉,あおば,42.62999,141.568278,0
苫小牧,とまこまい,42.639665,141.596837,0
沼ノ端,ぬまのはた,42.672057,141.693132,0
遠浅,とあさ,42.729533,141.769568,0
早来,はやきた,42.765237,141.814106,0
安平,あびら,42.814007,141.825283,0
追分,おいわけ,42.873316,141.810678,0
三川,みかわ,42.945029,141.800778,0
古山,ふるさん,42.975256,141.793969,0
由仁,ゆに,43.012206,141.785868,0
栗山,くりやま,43.058164,141.775603,0
栗丘,くりおか,43.085444,141.744333,0
栗沢,くりさわ,43.120367,141.739743,0
志文,しぶん,43.158903,141.744443,0
東滝川,ひがしたきかわ,43.574037,141.98031,1
赤平,あかびら,43.555144,142.048669,0
茂尻,もしり,43.537314,142.082156,0
平岸,ひらぎし,43.541401,142.123872,0
芦別,あしべつ,43.516636,142.184543,0
上芦別,かみあしべつ,43.48871,142.210855,0
野花南,のかなん,43.474418,142.261772,0
島ノ下,しまのした,43.3744,142.350406,1
富良野,ふらの,43.347114,142.391374,0
布部,ぬのべ,43.291991,142.400595,1
山部,やまべ,43.244645,142.381522,1
下金山,しもかなやま,43.197328,142.415402,1
金山,かなやま,43.136115,142.416201,1
東鹿越,ひがししかごえ,43.164011,142.523472,1
幾寅,いくとら,43.161582,142.569474,1
落合,おちあい,43.125055,142.669104,1
新得,しんとく,43.082501,142.832432,0
十勝清水,とかちしみず,43.012892,142.879535,0
羽帯,はおび,42.957499,142.906646,1
御影,みかげ,42.942418,142.935739,0
芽室,めむろ,42.909846,143.047991,0
大成,たいせい,42.918662,143.071241,0
西帯広,にしおびひろ,42.923941,143.126351,0
柏林台,はくりんだい,42.928877,143.1645,0
帯広,おびひろ,42.917997,143.20195,0
札内,さつない,42.912697,143.256248,0
稲士別,いなしべつ,42.903963,143.297528,1
幕別,まくべつ,42.90784,143.359293,0
利別,としべつ,42.934706,143.424445,0
池田,いけだ,42.922186,143.453033,0
十弗,とおふつ,42.855781,143.500797,0
豊頃,とよころ,42.817548,143.538615,0
新吉野,しんよしの,42.778238,143.60826,0
浦幌,うらほろ,42.810849,143.651568,0
上厚内,かみあつない,42.831881,143.749788,1
厚内,あつない,42.809539,143.814389,0
直別,ちょくべつ,42.852205,143.863607,1
尺別,しゃくべつ,42.869163,143.904331,1
音別,おんべつ,42.888997,143.932442,0
古瀬,ふるせ,42.947893,144.008589,1
白糠,しらぬか,42.956161,144.076879,0
西庶路,にししょろ,42.976138,144.129826,0
庶路,しょろ,42.983601,144.150018,0
大楽毛,おたのしけ,43.009078,144.273879,0
新大楽毛,しんおたのしけ,43.009423,144.295558,0
新富士,しんふじ,43.001605,144.350758,0
釧路,くしろ,42.990584,144.381983,0
東釧路,ひがしくしろ,42.995207,144.411307,0
武佐,むさ,42.991364,144.426681,0
別保,べっぽ,42.994384,144.469596,0
上尾幌,かみおぼろ,43.032893,144.61239,0
尾幌,おぼろ,43.018463,144.703758,0
門静,もんしず,43.057581,144.782638,0
厚岸,あっけし,43.056248,144.841355,0
糸魚沢,いといざわ,43.103506,144.92545,1
茶内,ちゃない,43.129266,145.02801,0
浜中,はまなか,43.15754,145.099657,0
姉別,あねべつ,43.196201,145.194716,0
厚床,あっとこ,43.228224,145.252096,0
初田牛,はったうし,43.204542,145.32277,1
別当賀,べっとが,43.218427,145.423593,0
落石,おちいし,43.198335,145.519449,0
昆布盛,こんぶもり,43.228593,145.542444,0
西和田,にしわだ,43.268043,145.541817,0
花咲,はなさき,43.295388,145.575045,1
東根室,ひがしねむろ,43.323655,145.597234,1
根室,ねむろ,43.326923,145.582707,0
植苗,うえなえ,42.713645,141.735344,0
美々,びび,42.777418,141.711387,1
新千歳空港,しんちとせくうこう,42.787546,141.680823,0
南千歳,みなみちとせ,42.80804,141.675388,0
千歳,ちとせ,42.82811,141.651934,0
長都,おさつ,42.852178,141.622987,0
サッポロビール庭園,さっぽろびーるていえん,42.866812,141.605616,0
恵庭,えにわ,42.883076,141.586234,0
恵み野,めぐみの,42.902704,141.574429,0
島松,しままつ,42.922504,141.573117,0
北広島,きたひろしま,42.979239,141.563115,0
上野幌,かみのっぽろ,43.016177,141.487317,0
新札幌,しんさっぽろ,43.038732,141.47237,0
新さっぽろ,しんさっぽろ,43.039141,141.473106,0
平和,へいわ,43.04695,141.437967,0
東追分,ひがしおいわけ,42.902377,141.83228,1
川端,かわばた,42.914721,141.894791,0
